epoch,acc,loss,lr,val_acc,val_loss
0,0.5965093374252319,1.7598825693130493,1e-04,0.41983503103256226,2.1025166511535645
1,0.8539760708808899,1.112995982170105,1e-04,0.2840276062488556,2.0901525020599365
2,0.8950937986373901,0.6172986626625061,1e-04,0.2793084979057312,2.0721421241760254
3,0.9138862490653992,0.4441886246204376,1e-04,0.3823970854282379,1.9898594617843628
4,0.9307791590690613,0.35414353013038635,1e-04,0.5224592685699463,1.7988399267196655
5,0.9395627379417419,0.29843106865882874,1e-04,0.5850226283073425,1.6153711080551147
6,0.9448674321174622,0.26169806718826294,1e-04,0.5853254795074463,1.4828863143920898
7,0.9487698078155518,0.23066286742687225,1e-04,0.5842811465263367,1.459818959236145
8,0.9501461982727051,0.20756232738494873,1e-04,0.7776656150817871,0.9885249733924866
9,0.9526253342628479,0.1881665736436844,1e-04,0.8145026564598083,0.7910296320915222
10,0.9547255039215088,0.17042438685894012,1e-04,0.806223452091217,0.8354603052139282
11,0.9556096196174622,0.1573486477136612,1e-04,0.8765078783035278,0.5861031413078308
12,0.9575483798980713,0.14458608627319336,1e-04,0.9205226898193359,0.36534854769706726
13,0.9591930508613586,0.1339566707611084,1e-04,0.9224555492401123,0.30483338236808777
14,0.959947943687439,0.12905314564704895,1e-04,0.9109915494918823,0.2944647967815399
15,0.9624749422073364,0.12100041657686234,1e-04,0.934876024723053,0.22494840621948242
16,0.964299201965332,0.11418817192316055,1e-04,0.9313732981681824,0.2550804018974304
17,0.9671878218650818,0.10641007125377655,1e-04,0.9434731602668762,0.17765453457832336
18,0.9694703817367554,0.1008455827832222,1e-04,0.947487473487854,0.16435270011425018
19,0.9714705944061279,0.09495068341493607,1e-04,0.9554240703582764,0.14644569158554077
20,0.9735330939292908,0.08713119477033615,1e-04,0.9603062272071838,0.1306925266981125
21,0.975685715675354,0.07938206940889359,1e-04,0.9618205428123474,0.12909936904907227
22,0.9765554070472717,0.0750078409910202,1e-04,0.9617930054664612,0.12870952486991882
23,0.9765810966491699,0.07339266687631607,1e-04,0.9599086046218872,0.133547842502594
24,0.976654052734375,0.07224380970001221,1e-04,0.9593334197998047,0.1291947066783905
25,0.9771642088890076,0.07026348263025284,1e-04,0.9597095251083374,0.12579934298992157
26,0.9775561690330505,0.06705872714519501,1e-04,0.9605656266212463,0.1296914666891098
27,0.9780160784721375,0.06486126035451889,1e-04,0.9516275525093079,0.14351186156272888
28,0.9779374003410339,0.06571968644857407,1e-04,0.9613243341445923,0.12953326106071472
29,0.9782704710960388,0.0638900175690651,1e-04,0.9590380787849426,0.13735558092594147
30,0.97889643907547,0.06159023940563202,1e-04,0.9619889259338379,0.1364714503288269
31,0.9776630401611328,0.06486234813928604,1e-05,0.9645776748657227,0.12222371995449066
32,0.9795827269554138,0.058356743305921555,1e-05,0.9653576612472534,0.11859801411628723
33,0.9806406497955322,0.0553646944463253,1e-05,0.9656462669372559,0.11639964580535889
34,0.9811623096466064,0.05376342311501503,1e-05,0.9658315181732178,0.11526568233966827
35,0.9815326929092407,0.05262531340122223,1e-05,0.9659325480461121,0.11463827639818192
36,0.9818196296691895,0.05172980576753616,1e-05,0.9659969806671143,0.11424658447504044
37,0.9820660948753357,0.05097832903265953,1e-05,0.9660525321960449,0.11410997807979584
38,0.9822813272476196,0.05032569542527199,1e-05,0.9660947322845459,0.11397256702184677
39,0.9824719429016113,0.04974623769521713,1e-05,0.9661051630973816,0.11420007050037384
40,0.982647180557251,0.04921131581068039,1e-05,0.96612548828125,0.11434481292963028
41,0.9828088879585266,0.04872509092092514,1e-05,0.9661473035812378,0.11431658267974854
42,0.9829580783843994,0.048268575221300125,1e-05,0.9661675691604614,0.11455534398555756
43,0.9831033945083618,0.047830794006586075,1e-05,0.966192901134491,0.1146659329533577
44,0.9832160472869873,0.047301601618528366,1e-06,0.9662428498268127,0.11490275710821152
45,0.9832573533058167,0.04722890257835388,1e-06,0.9662386178970337,0.11504150182008743
46,0.9832777976989746,0.047169461846351624,1e-06,0.9662408828735352,0.11506087332963943
47,0.9832999110221863,0.04711267352104187,1e-06,0.96624356508255,0.11504538357257843
48,0.9833197593688965,0.047057416290044785,1e-06,0.9662492275238037,0.11503129452466965
49,0.9833051562309265,0.04698128625750542,1e-07,0.9662399888038635,0.11499135196208954
50,0.9833158254623413,0.046976421028375626,1e-07,0.9662389755249023,0.11497451364994049
51,0.9833242297172546,0.04697125777602196,1e-07,0.9662402272224426,0.11496438831090927
52,0.9833312034606934,0.046965863555669785,1e-07,0.9662415385246277,0.11496122926473618
53,0.983337938785553,0.04696033149957657,1e-07,0.9662460088729858,0.11495820432901382
54,0.9833401441574097,0.04695242643356323,1e-08,0.966246485710144,0.11496144533157349
55,0.983340859413147,0.0469520278275013,1e-08,0.9662461280822754,0.11496397852897644
56,0.9833415746688843,0.046951573342084885,1e-08,0.9662465453147888,0.11496581882238388
57,0.9833424687385559,0.04695113003253937,1e-08,0.9662469029426575,0.11496587842702866
58,0.9833430051803589,0.046950649470090866,1e-08,0.966247022151947,0.11496829986572266
